I_time,I_voltage,II_time,II_voltage,III_time,III_voltage,aVR_time,aVR_voltage,aVL_time,aVL_voltage,aVF_time,aVF_voltage,V1_time,V1_voltage,V2_time,V2_voltage,V3_time,V3_voltage,V4_time,V4_voltage,V5_time,V5_voltage,V6_time,V6_voltage,heart_rate_bpm
0.37,0.2974828375286078,0.37,0.2613337692056285,0.37,0.3217015364498241,0.37,0.28575187969925303,0.37,0.505000000000002,0.37,0.2721690094802289,0.37,0.24500000000000366,0.37,0.28500000000000536,0.37,0.2480483818241302,0.37,0.25000000000000555,0.37,0.2557927427263862,0.37,0.2542677345537817,113.20754716981132
0.37200000000000005,0.2991811049362574,0.37200000000000005,0.25997548218372596,0.37200000000000005,0.32223112128146836,0.37200000000000005,0.28513729977117197,0.37200000000000005,0.505000000000002,0.37200000000000005,0.2739571755475711,0.37200000000000005,0.24500000000000366,0.37200000000000005,0.28500000000000536,0.37200000000000005,0.24763484798954374,0.37200000000000005,0.25000000000000555,0.37200000000000005,0.25564073226545125,0.37200000000000005,0.2538035305655503,113.20754716981132
0.374,0.3006832298136683,0.374,0.25808597580909365,0.374,0.3227688787185393,0.374,0.2839849624060199,0.374,0.505000000000002,0.374,0.27602974828375926,0.374,0.24500000000000366,0.374,0.28500000000000536,0.374,0.24709055246813155,0.374,0.25000000000000555,0.374,0.2552598888525713,0.374,0.25329846355018576,113.20754716981132
0.376,0.3018911408957212,0.376,0.2553694017652885,0.376,0.32329846355018366,0.376,0.28192546583851413,0.376,0.505000000000002,0.376,0.2785518143184111,0.376,0.24500000000000366,0.376,0.28500000000000536,0.376,0.2464481856816,0.376,0.25000000000000555,0.376,0.2546829029094526,0.376,0.2527688787185414,113.20754716981132
0.378,0.30315789473684573,0.378,0.2522441974501528,0.378,0.3238035305655481,0.378,0.27949166394246977,0.378,0.505000000000002,0.378,0.2814089571755541,0.378,0.24500000000000366,0.378,0.28500000000000536,0.378,0.24574043805165566,0.378,0.25000000000000555,0.378,0.25366296175221165,0.378,0.2522311212814705,113.20754716981132
0.38,0.3045733899967346,0.38,0.24811866623080006,0.38,0.32426773455377955,0.38,0.277061131088596,0.38,0.505000000000002,0.38,0.2844867603792154,0.38,0.24500000000000366,0.38,0.28500000000000536,0.38,0.24500000000000477,0.38,0.24972049689441547,0.38,0.2523880353056607,0.38,0.25170153644982624,113.20754716981132
0.38200000000000006,0.3057927427263848,0.38200000000000006,0.24670807453416732,0.38200000000000006,0.3246747303040247,0.38200000000000006,0.2738623733246208,0.38200000000000006,0.505000000000002,0.38200000000000006,0.2879503105590125,0.38200000000000006,0.24500000000000366,0.38200000000000006,0.28500000000000536,0.38200000000000006,0.24425956194835396,0.38200000000000006,0.249596273291931,0.38200000000000006,0.25102974828375807,0.38200000000000006,0.2511964694344617,113.20754716981132
0.384,0.3070300751879735,0.384,0.24626021575678908,0.384,0.32500817260543047,0.384,0.27047728015691896,0.384,0.505000000000002,0.384,0.2918094148414578,0.384,0.24500000000000366,0.384,0.28500000000000536,0.384,0.24299280810722942,0.384,0.2496109839816989,0.384,0.24974338018960973,0.384,0.25073226544623023,113.20754716981132
0.386,0.30823635174894104,0.386,0.24724256292906768,0.386,0.3252517162471434,0.386,0.26705295848316934,0.386,0.505000000000002,0.386,0.29537593984963023,0.386,0.24500000000000366,0.386,0.28500000000000536,0.386,0.24210199411572894,0.386,0.249748283752866,0.386,0.2489473684210578,0.386,0.250045766590395,113.20754716981132
0.38799999999999996,0.3093788819875811,0.38799999999999996,0.24967146126185624,0.38799999999999996,0.32538901601831044,0.38799999999999996,0.2633017325923554,0.38799999999999996,0.505000000000002,0.38799999999999996,0.29842922523701154,0.38799999999999996,0.24611801242236386,0.38799999999999996,0.28500000000000536,0.38799999999999996,0.24130761686826246,0.38799999999999996,0.24999182739457892,0.38799999999999996,0.24860902255639616,0.38799999999999996,0.2493085975809148,113.20754716981132
0.39,0.31026969597908155,0.39,0.2507486106570834,0.39,0.3254037267080784,0.39,0.2593870545930092,0.39,0.505000000000002,0.39,0.3007649558679367,0.39,0.24689440993789172,0.39,0.28500000000000536,0.39,0.24104445897352567,0.39,0.2506047728015747,0.39,0.24869565217391823,0.39,0.24867603792089527,113.20754716981132
0.392,0.3107371690094836,0.392,0.2523962079110881,0.392,0.32527950310559384,0.392,0.2554723765936632,0.392,0.505000000000002,0.392,0.30191565871200343,0.392,0.24695979078130456,0.392,0.28500000000000536,0.392,0.24129617522066527,0.392,0.2514154952598945,0.392,0.2491745668519176,0.392,0.24856652500817875,113.20754716981132
0.394,0.3107976462896405,0.394,0.2542203334423074,0.394,0.3250000000000038,0.394,0.2514416475972591,0.394,0.505000000000002,0.394,0.3021444916639485,0.394,0.2463958810068685,0.394,0.28500000000000536,0.394,0.24159529257927925,0.394,0.2522687152664324,0.394,0.25057208237986783,0.394,0.24894736842105872,113.20754716981132
0.396,0.31048381824125865,0.396,0.25680451127820136,0.396,0.3250000000000038,0.396,0.2473340961098451,0.396,0.505000000000002,0.396,0.30145145472377183,0.396,0.24528440666884951,0.396,0.28500000000000536,0.396,0.24218862373325112,0.396,0.2527459954233464,0.396,0.25226544622426145,0.396,0.2497858777378288,113.20754716981132
